# CoordinateSystem: PROJCS["NAD83(2011) / North Carolina",GEOGCS["NAD83(2011)",DATUM["NAD83 (National Spatial Reference System 2011)",SPHEROID["GRS 1980",6378137,298.257222101,AUTHORITY["EPSG","7019"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","1116"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","6318"]],PROJECTION["Lambert_Conformal_Conic_2SP",AUTHORITY["EPSG","9802"]],PARAMETER["latitude_of_origin",33.75],PARAMETER["central_meridian",-79],PARAMETER["standard_parallel_1",36.1666666666667],PARAMETER["standard_parallel_2",34.3333333333333],PARAMETER["false_easting",609601.22],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","6542"]]
#Label	X/Easting	Y/Northing	Z/Altitude
1	901792.513000	274687.180000	7.196000
2	901791.121000	274698.314000	7.577000
3	901793.268000	274690.795000	7.441000
4	901782.412000	274716.265000	7.934000
5	901781.772000	274721.965000	7.948000
6	901778.761000	274724.798000	8.013000
7	901819.663000	274674.661000	2.485000
8	901855.765000	274670.796000	1.416000
9	901884.745000	274670.260000	0.713000
10	901834.272000	274692.755000	1.496000
11	901811.142000	274699.717000	2.323000
12	901828.801000	274716.872000	1.480000
13	901825.336000	274734.190000	1.542000
14	901814.406000	274723.595000	1.675000
15	901777.696000	274730.030000	7.657000
16	901789.520000	274702.534000	7.814000
21	901837.468000	274678.654000	1.640000
22	901844.840000	274701.242000	1.406000
23	901806.771000	274716.812000	2.019000
24	901799.641000	274724.526000	2.250000
25	901792.875000	274739.776000	2.302000
26	901796.091000	274760.826000	2.031000
27	901802.683000	274768.253000	1.531000
28	901812.590000	274750.294000	1.598000
29	901807.166000	274739.754000	1.913000
